precinct_norm,registered_active,pct_dem,pct_rep,pct_una,pct_black,pct_white,median_age,total_population_2020,registration_rate,turnout_2016_General,turnout_2018_General,turnout_2020_General,turnout_2021_Municipal,turnout_2022_General,turnout_2023_Municipal,turnout_2024_General
31,7113,0.4674539575425278,0.10192605089273162,0.4259805989034163,0.3367074370870238,0.4193729790524392,39.0,8915.0,0.7978687605159843,0.9219246482069905,0.7867025365103766,0.950084127874369,0.13146155864602466,0.6837038734815494,0.15619765494137353,0.8951118475559238
32,7850,0.3243312101910828,0.20484076433121018,0.46611464968152866,0.10178343949044585,0.6895541401273886,63.0,6527.0,1.2026964914968592,0.9454887218045113,0.8458594293667363,0.9762435040831478,0.23336351290176552,0.8147489126136813,0.24229640498899485,0.9437460716530484
33-1,5820,0.42216494845360825,0.12886597938144329,0.44261168384879723,0.2893470790378007,0.48556701030927835,43.0,,,0.9247076023391813,0.7982878544676297,0.9558498896247241,0.15006775067750677,0.7278332354668232,0.16447191615157217,0.9009353741496599
33-2,5342,0.440658929239985,0.08386372145263946,0.46892549606888806,0.34107076001497566,0.37364283040059904,35.0,,,0.8871139510117146,0.6801346801346801,0.926948051948052,0.08992094861660078,0.5896580483736447,0.10726012404232033,0.836552748885587
34-1,3240,0.5666666666666667,0.05740740740740741,0.3709876543209877,0.4148148148148148,0.3712962962962963,42.0,4296.0,0.7541899441340782,0.9429530201342282,0.8178016726403823,0.9550731953558809,0.24866698982064955,0.730186999109528,0.27875,0.9165786694825766
34-2,5174,0.5688055662930035,0.04793196752995748,0.3768844221105528,0.47564746810977965,0.2765751836103595,41.0,8371.0,0.6180862501493251,0.9200902934537246,0.755804643714972,0.9314845024469821,0.20572673513849984,0.6589366515837104,0.2144927536231884,0.8796397979354272
35-4,4604,0.45351867940920937,0.1031711555169418,0.4394005212858384,0.19960903562119894,0.5805821025195482,51.0,,,0.9590525893215576,0.8409169850642584,0.9747368421052631,0.15894039735099338,0.8165409482758621,0.21702017589239525,0.9541349809885932
35-5,4289,0.49755187689438096,0.08883189554674749,0.41035206341804614,0.2553042667288412,0.5383539286546981,48.0,,,0.9458105646630237,0.8503428801936265,0.9675566069618114,0.27034035656401945,0.795653486266224,0.2939160239931448,0.9292826142455961
36,2424,0.5577557755775577,0.05858085808580858,0.3795379537953795,0.2739273927392739,0.5028877887788779,41.0,5216.0,0.4647239263803681,0.935672514619883,0.8125530110262935,0.9398340248962656,0.26151849448410125,0.7458133971291866,0.3044708545557442,0.8749412317818523
37,5949,0.43940158009749536,0.14926878466969237,0.4088082030593377,0.11716254832744999,0.7189443603967053,53.0,7706.0,0.7719958473916428,0.94976,0.8437859608745685,0.9743779255974377,0.2319756554307116,0.8265328387519092,0.32236568096626406,0.9435394298407997
38,6684,0.4793536804308797,0.08916816277678037,0.4272890484739677,0.24162178336325554,0.5532615200478755,40.0,11766.0,0.5680775114737379,0.9405984814649397,0.8006158583525789,0.9500310366232154,0.20640465793304222,0.7322305505298526,0.25319451017510647,0.8852908891328211
40,1909,0.5877422734415925,0.05919329491880566,0.34834992142482973,0.24934520691461498,0.5845992666317443,44.0,2916.0,0.6546639231824417,0.9478908188585607,0.8602150537634409,0.9609236234458259,0.3299406276505513,0.8179723502304147,0.3992831541218638,0.8569711538461539
41,1190,0.7050420168067227,0.012605042016806723,0.2781512605042017,0.7168067226890756,0.08571428571428572,54.0,1827.0,0.6513409961685823,0.9434482758620689,0.7800511508951407,0.9391812865497076,0.29511918274687854,0.6853448275862069,0.25617283950617287,0.8575342465753425
42,1114,0.6714542190305206,0.017953321364452424,0.30610412926391384,0.703770197486535,0.09515260323159784,50.0,1636.0,0.6809290953545232,0.9121621621621622,0.7628705148205929,0.9158620689655173,0.28495339547270304,0.6758448060075094,0.26233453670276774,0.8105906313645621
43,6598,0.4939375568354047,0.0951803576841467,0.4084571082146105,0.09866626250378903,0.7296150348590482,51.0,8972.0,0.7353990191707535,0.9602065613608749,0.8815397126592572,0.9772832637923041,0.22027506654835846,0.8359247135842881,0.30824165219069677,0.9286932787444558
44,6346,0.42152537031200754,0.1640403403718878,0.40954932240781594,0.196816892530728,0.6569492593759849,54.0,8084.0,0.785007422068283,0.9469252360295994,0.8285245132535773,0.9653035935563816,0.08396489828480255,0.7918236623963828,0.0887155297532656,0.9431415555930488
